Symbol,Name,Market Cap,Country,Volume,Sector,Industry
CMPR,Cimpress plc Ordinary Shares (Ireland),2175529229,Netherlands,62431,Consumer Services,Recreational Products/Toys
CMPS,COMPASS Pathways Plc American Depository Shares,1336569330,United Kingdom,693228,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,Compass Therapeutics Inc. Common Stock,313701008,United States,237591,Health Care,Biotechnology: Pharmaceutical Preparations
CMRX,Chimerix Inc. Common Stock,541152914,United States,635701,Health Care,Biotechnology: Pharmaceutical Preparations
CMTL,Comtech Telecommunications Corp. Common Stock,711366948,United States,96202,Technology,Radio And Television Broadcasting And Communications Equipment
CNCE,Concert Pharmaceuticals Inc. Common Stock,131014101,United States,89949,Health Care,Biotechnology: Pharmaceutical Preparations
CNDT,Conduent Incorporated Common Stock ,1159727289,United States,713179,Technology,Retail: Computer Software & Peripheral Equipment
CNET,ZW Data Action Technologies Inc. Common Stock,44519173,China,79262,Technology,Advertising
CNEY,CN Energy Group Inc. Ordinary Shares,67663189,China,356011,Basic Industries,Major Chemicals
CNFR,Conifer Holdings Inc. Common Stock,23492917,United States,47274,Finance,Property-Casualty Insurers
CNNB,Cincinnati Bancorp Inc. Common Stock,44676736,United States,2551,Finance,Commercial Banks
CNOB,ConnectOne Bancorp Inc. Common Stock,1370236085,United States,67702,Finance,Major Banks
CNSL,Consolidated Communications Holdings Inc. Common Stock,796946273,United States,247494,Public Utilities,Telecommunications Equipment
CNSP,CNS Pharmaceuticals Inc. Common Stock,32667531,United States,154905,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,Connect Biopharma Holdings Limited American Depositary Shares,261549516,China,447289,Health Care,Biotechnology: Pharmaceutical Preparations
CNTG,Centogene N.V. Common Shares,161605742,Germany,217086,Health Care,Medical Specialities
CNTX,Context Therapeutics Inc. Common Stock,54360568,United States,576203,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,Century Casinos Inc. Common Stock,435041618,United States,349931,Consumer Services,Hotels/Resorts
CNXC,Concentrix Corporation Common Stock,9353185261,United States,132214,Technology,Computer Software: Prepackaged Software
CNXN,PC Connection Inc. Common Stock,1248614863,United States,36112,Technology,Retail: Computer Software & Peripheral Equipment
COCO,The Vita Coco Company Inc. Common Stock,842159213,United States,724978,Consumer Non-Durables,Beverages (Production/Distribution)
COCP,Cocrystal Pharma Inc. Common Stock,79729442,United States,553956,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,Coda Octopus Group Inc. Common stock,90657578,United States,9285,Capital Goods,Industrial Machinery/Components
CODX,Co-Diagnostics Inc. Common Stock,245028667,United States,402758,Health Care,Medical/Dental Instruments
COFS,ChoiceOne Financial Services Inc. Common Stock,197536049,United States,1857,Finance,Major Banks
COGT,Cogent Biosciences Inc. Common Stock,359854729,United States,238635,Health Care,Biotechnology: Pharmaceutical Preparations
COHR,Coherent Inc. Common Stock,19228728511,United States,179079,Capital Goods,Biotechnology: Laboratory Analytical Instruments
COHU,Cohu Inc. Common Stock,1723572440,United States,175680,Capital Goods,Electrical Products
COIN,Coinbase Global Inc. Class A Common Stock,81812322000,United States,2754741,Technology,EDP Services
COKE,Coca-Cola Consolidated Inc. Common Stock,5586812381,United States,42058,Consumer Non-Durables,Beverages (Production/Distribution)
COLB,Columbia Banking System Inc. Common Stock,2699633048,United States,406145,Finance,Major Banks
COLL,Collegium Pharmaceutical Inc. Common Stock,640558178,United States,201159,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,Columbia Sportswear Company Common Stock,6725839317,United States,179714,Consumer Non-Durables,Apparel
COMM,CommScope Holding Company Inc. Common Stock,2206544178,United States,6320009,Technology,Radio And Television Broadcasting And Communications Equipment
COMS,ComSovereign Holding Corp. Common Stock,93523314,United States,507978,Consumer Services,Telecommunications Equipment
CONE,CyrusOne Inc Common Stock,11409378107,United States,3540632,Consumer Services,Real Estate Investment Trusts
CONN,Conn's Inc. Common Stock,692558959,United States,130493,Consumer Services,Consumer Electronics/Video Chains
COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares,491000000,United States,3237,Finance,Business Services
COOP,Mr. Cooper Group Inc. Common Stock,3167921434,United States,428608,Finance,Finance: Consumer Services
CORT,Corcept Therapeutics Incorporated Common Stock,2593049562,United States,482777,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,2.43E+11,United States,2315609,Consumer Services,Department/Specialty Retail Stores
COUP,Coupa Software Incorporated Common Stock,15043690188,United States,1548589,Technology,Computer Software: Prepackaged Software
COVA,COVA Acquisition Corp. Class A Ordinary Share,365250000,United States,7834,Finance,Business Services
COWN,Cowen Inc. Class A Common Stock,1034453013,United States,165702,Finance,Investment Bankers/Brokers/Service
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,81584264,United States,304,Consumer Services,Services-Misc. Amusement & Recreation
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,33765952,United States,37161,Health Care,Biotechnology: Pharmaceutical Preparations
CPLP,Capital Product Partners L.P. Common Units,290885305,Greece,94297,Transportation,Marine Transportation
CPRT,Copart Inc. (DE) Common Stock,35227230228,United States,459971,Miscellaneous,Business Services
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,761007733,United States,591533,Health Care,Biotechnology: Pharmaceutical Preparations
CPSI,Computer Programs and Systems Inc. Common Stock,446923965,United States,119471,Technology,EDP Services
CPSS,Consumer Portfolio Services Inc. Common Stock,170063718,United States,82716,Finance,Diversified Financial Services
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,398926182,United States,37046,Finance,Trusts Except Educational Religious and Charitable
CRAI,CRA International Inc. Common Stock,763726534,United States,24863,Miscellaneous,Other Consumer Services
CRBP,Corbus Pharmaceuticals Holdings Inc. Common Stock,114198040,United States,744480,Health Care,Biotechnology: Pharmaceutical Preparations
CRBU,Caribou Biosciences Inc. Common Stock,1064195638,United States,377908,Consumer Durables,Specialty Chemicals
CRCT,Cricut Inc. Class A Common Stock,5242423325,United States,406874,Capital Goods,Wholesale Distributors
CRDF,Cardiff Oncology Inc. Common Stock,226633699,United States,605777,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,271598181,Argentina,70132,Finance,Real Estate
CREX,Creative Realities Inc. Common Stock,22920922,United States,158550,Technology,EDP Services
